Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,No,Non-Travel,1318,Sales,13,1,Marketing,1,736,2,Female,32,3,2,Sales Executive,1,Married,16652,11027,5,Y,Yes,18,3,2,80,0,28,6,1,18,12,2,10
33,Yes,Travel_Frequently,1097,Research & Development,14,2,Medical,1,737,2,Male,78,1,3,Manager,1,Divorced,13603,4508,8,Y,No,13,4,4,80,0,13,3,4,3,10,1,12
33,No,Travel_Frequently,912,Human Resources,14,1,Marketing,1,738,2,Female,84,3,1,Sales Representative,1,Divorced,8098,21317,0,Y,No,11,3,1,80,2,8,0,3,21,5,6,14
41,Yes,Travel_Rarely,1325,Research & Development,8,1,Other,1,739,4,Female,36,4,1,Laboratory Technician,4,Married,17163,11769,5,Y,Yes,21,3,1,80,2,35,4,3,18,10,7,16
23,No,Travel_Rarely,135,Sales,18,1,Technical Degree,1,740,3,Male,97,2,3,Manufacturing Director,3,Married,14317,7235,2,Y,No,12,4,4,80,2,26,3,1,15,13,3,13
26,Yes,Travel_Rarely,968,Human Resources,15,1,Marketing,1,741,2,Male,81,1,2,Manager,3,Divorced,13001,18608,5,Y,No,16,3,1,80,3,14,5,1,27,15,3,10
45,No,Travel_Frequently,1180,Research & Development,19,1,Marketing,1,742,2,Male,68,1,2,Manager,3,Married,15503,20678,4,Y,Yes,15,4,2,80,2,29,4,1,20,14,3,2
59,Yes,Travel_Frequently,717,Sales,13,5,Life Sciences,1,743,3,Male,45,2,2,Research Director,4,Married,19344,17167,6,Y,Yes,21,4,1,80,1,30,6,4,5,17,8,7
18,No,Travel_Rarely,482,Human Resources,1,5,Marketing,1,744,4,Female,57,2,2,Sales Executive,2,Single,5375,8986,9,Y,Yes,15,3,2,80,2,15,6,2,25,14,12,5
34,No,Travel_Frequently,1071,Human Resources,20,2,Life Sciences,1,745,2,Female,47,2,2,Healthcare Representative,1,Married,1013,4232,6,Y,No,23,3,3,80,1,13,2,4,4,18,4,0
48,Yes,Travel_Frequently,274,Research & Development,27,3,Technical Degree,1,746,2,Male,37,4,3,Research Scientist,1,Divorced,19067,9340,1,Y,No,22,4,3,80,1,9,1,4,40,4,4,15
46,Yes,Travel_Frequently,549,Human Resources,3,4,Technical Degree,1,747,4,Male,68,4,1,Sales Executive,1,Divorced,19310,13939,0,Y,Yes,23,3,3,80,1,39,4,3,8,9,2,1
58,Yes,Travel_Rarely,711,Sales,2,2,Medical,1,748,1,Male,90,3,5,Laboratory Technician,4,Married,14779,6606,5,Y,Yes,24,3,1,80,1,25,1,3,40,12,8,13
